EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	20:42:46	0.1000	2.4893	2.0513	0.4582	0.4582	0.4582	0.4582
2	22:10:45	0.1000	2.1429	1.9161	0.4830	0.4830	0.4830	0.4830
3	23:37:42	0.1000	2.0453	1.8533	0.5006	0.5006	0.5006	0.5006
4	01:04:10	0.1000	1.9888	1.8114	0.5095	0.5095	0.5095	0.5095
5	02:26:04	0.1000	1.9495	1.7788	0.5146	0.5146	0.5146	0.5146
6	03:49:33	0.1000	1.9186	1.7702	0.5159	0.5159	0.5159	0.5159
7	05:15:56	0.1000	1.8961	1.7478	0.5237	0.5237	0.5237	0.5237
8	06:41:06	0.1000	1.8754	1.7410	0.5223	0.5223	0.5223	0.5223
9	08:06:29	0.1000	1.8588	1.7208	0.5285	0.5285	0.5285	0.5285
10	09:32:18	0.1000	1.8435	1.7035	0.5322	0.5322	0.5322	0.5322
11	10:59:21	0.1000	1.8316	1.6988	0.5336	0.5336	0.5336	0.5336
12	12:31:48	0.1000	1.8195	1.6992	0.5332	0.5332	0.5332	0.5332
13	14:11:07	0.1000	1.8103	1.6867	0.5352	0.5352	0.5352	0.5352
14	15:41:14	0.1000	1.7996	1.6924	0.5323	0.5323	0.5323	0.5323
15	17:16:36	0.1000	1.7912	1.6867	0.5333	0.5333	0.5333	0.5333
16	18:50:44	0.1000	1.7828	1.6877	0.5390	0.5390	0.5390	0.5390
17	20:18:10	0.1000	1.7762	1.6699	0.5391	0.5391	0.5391	0.5391
18	21:44:39	0.1000	1.7698	1.6553	0.5437	0.5437	0.5437	0.5437
19	23:22:29	0.1000	1.7626	1.6610	0.5416	0.5416	0.5416	0.5416
20	00:54:33	0.1000	1.7559	1.6585	0.5408	0.5408	0.5408	0.5408
