name_a,name_b,label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33
University of Wisconsin- Madison,University of Wisconsin-Madison,1,98.41269841269842,76.19047619047619,76.19047619047619,96.7741935483871,98.41269841269842,98.41269841269842,76.19047619047619,0.0317460317460317,0.1428571428571428,1.0,0.0,0.0,0.0,0.0,17.779764834140575,1.983080038775065,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,
Indiana University Bloomington,"Indiana University Bloomington,",1,98.36065573770492,98.36065573770492,98.36065573770492,100.0,98.36065573770492,98.36065573770492,98.36065573770492,0.0327868852459016,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,15.650427869351704,1.983080038775065,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,
"California State University, Fullerton",California State University-Fullerton,1,96.0,72.0,72.0,94.5945945945946,96.0,96.0,72.0,0.0266666666666666,0.1428571428571428,0.8823529411764706,0.0,0.0,0.0,0.0,19.073336339021093,1.983080038775065,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,
San Jose State University,San José State University,1,96.0,96.0,96.0,96.0,96.0,100.0,100.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,18.33031732842097,1.983080038775065,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,
Northeastern University,Northwestern University,1,95.65217391304348,95.65217391304348,95.65217391304348,95.65217391304348,95.65217391304348,95.65217391304348,95.65217391304348,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,1.983080038775065,1.983080038775065,14.015654524844855,6.863986226196537,1.0,0.0,,,,,,,,,,,,,,
University of St. Thomas,Universityof St.Thomas,1,95.65217391304348,95.65217391304348,95.65217391304348,90.9090909090909,95.65217391304348,95.65217391304348,95.65217391304348,0.0869565217391304,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,11.43008588018058,5.051607469765746,13.336146736594468,1.983080038775065,1.0,0.0,,,,,,,,,,,,,,
Colorado State University,Colorado State University Global,1,95.0,87.71929824561404,100.0,100.0,87.71929824561404,95.0,87.71929824561404,0.2456140350877192,0.1428571428571428,0.8823529411764706,0.0,0.0,0.0,0.0,11.77403204156671,1.983080038775065,6.458521118088372,6.458521118088372,1.0,0.0,,,,,,,,,,,,,,
Colorado State University,Colorado State University Pueblo,1,95.0,87.71929824561404,100.0,100.0,87.71929824561404,95.0,87.71929824561404,0.2456140350877192,0.1428571428571428,0.8823529411764706,0.0,0.0,0.0,0.0,11.77403204156671,1.983080038775065,8.250280587316428,8.250280587316428,1.0,0.0,,,,,,,,,,,,,,
"University of California, Berkeley","University of California, Berkeley - School of Law",1,95.0,80.95238095238095,100.0,100.0,80.95238095238095,95.0,80.95238095238095,0.3809523809523809,0.3333333333333333,0.8571428571428571,0.0,0.0,0.0,0.0,16.29816029321636,1.983080038775065,7.628775205482209,2.4695370715240976,1.0,0.0,,,,,,,,,,,,,,
University of Florida,University of North Florida,0,95.0,87.5,100.0,84.21052631578947,87.5,95.0,87.5,0.25,0.1428571428571428,0.9375,0.0,0.0,0.0,0.0,10.117270911726266,1.983080038775065,5.279866121746726,5.279866121746726,1.0,0.0,,,,,,,,,,,,,,
University of Washington,University of Washington Bothell,0,95.0,85.71428571428572,100.0,100.0,85.71428571428572,95.0,85.71428571428572,0.2857142857142857,0.1428571428571428,0.8888888888888888,0.0,0.0,0.0,0.0,10.391707757428026,1.983080038775065,8.943427767876372,8.943427767876372,1.0,0.0,,,,,,,,,,,,,,
University of Washington,University of Washington Tacoma,0,95.0,87.27272727272728,100.0,100.0,87.27272727272728,95.0,87.27272727272728,0.2545454545454545,0.1428571428571428,0.8888888888888888,0.0,0.0,0.0,0.0,10.391707757428026,1.983080038775065,8.943427767876372,8.943427767876372,1.0,0.0,,,,,,,,,,,,,,
Texas Lutheran University,Texas Southern University,0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,7.21293573994713,1.983080038775065,12.573649556710958,5.576131937889898,1.0,0.0,,,,,,,,,,,,,,
New York University,New York University School of Law,1,90.0,73.07692307692308,100.0,100.0,73.07692307692308,90.0,73.07692307692308,0.5384615384615384,0.3333333333333333,0.7222222222222222,0.0,0.0,0.0,0.0,12.375505359496245,1.983080038775065,10.03841413542524,2.409638929943029,1.0,0.0,,,,,,,,,,,,,,
New York University,"New York University, Steinhardt School of Culture, Education, and Human Development",1,90.0,37.25490196078432,59.25925925925926,100.0,37.25490196078432,90.0,37.25490196078432,1.2549019607843137,0.5714285714285714,0.5909090909090909,0.0,0.0,0.0,0.0,12.375505359496245,1.983080038775065,48.07824054962079,2.409638929943029,1.0,0.0,,,,,,,,,,,,,,
Drexel University,Drexel University's College of Nursing and Health Professions,1,90.0,43.58974358974359,52.17391304347826,100.0,43.58974358974359,90.0,43.58974358974359,1.1282051282051282,0.6,0.6190476190476191,0.0,0.0,0.0,0.0,10.233360626091493,1.983080038775065,36.66223100047303,2.409638929943029,1.0,0.0,,,,,,,,,,,,,,
Georgetown University,Georgetown University Law Center,1,90.0,79.24528301886792,100.0,100.0,79.24528301886792,90.0,79.24528301886792,0.4150943396226415,0.3333333333333333,0.8125,0.0,0.0,0.0,0.0,9.317069894217337,1.983080038775065,10.519146963378375,5.159238133958112,1.0,0.0,,,,,,,,,,,,,,
Pennsylvania State University,Pennsylvania State University-Penn State Beaver,1,90.0,76.31578947368422,82.85714285714286,100.0,76.31578947368422,90.0,76.31578947368422,0.4736842105263157,0.25,0.8666666666666667,0.0,0.0,0.0,0.0,11.968188056007666,1.983080038775065,14.996483777856582,6.746203190540153,1.0,0.0,,,,,,,,,,,,,,
Pennsylvania State University,Pennsylvania State University-Penn State Worthington Scranton,0,90.0,64.44444444444444,76.59574468085106,100.0,64.44444444444444,90.0,64.44444444444444,0.7111111111111111,0.3333333333333333,0.6842105263157895,0.0,0.0,0.0,0.0,11.968188056007666,1.983080038775065,23.939911545732954,6.746203190540153,1.0,0.0,,,,,,,,,,,,,,
Colorado State University Global,Colorado State University Pueblo,0,87.5,87.5,87.71929824561403,91.8032786885246,87.5,87.5,87.5,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,11.77403204156671,1.983080038775065,14.7088017054048,6.458521118088372,1.0,0.0,,,,,,,,,,,,,,
Cape Cod Community College,Colorado Aero Tech / Front Range Community College,0,85.5,52.63157894736843,79.06976744186046,84.44444444444444,60.526315789473685,85.5,52.63157894736843,0.631578947368421,0.3333333333333333,0.7368421052631579,0.0,0.0,0.0,0.0,6.441962689174366,2.502481227243452,53.95366987111519,6.110214423820157,1.0,0.0,,,,,,,,,,,,,,
"University of California, Santa Cruz",University of Virginia - Darden Graduate School of Business Administration,0,85.5,45.45454545454546,53.06122448979592,68.85245901639344,45.45454545454546,85.5,45.45454545454546,0.6909090909090909,0.3333333333333333,0.6521739130434783,0.0,0.0,0.0,0.0,4.392718968718095,1.983080038775065,53.8935317397326,2.4695370715240976,1.0,0.0,,,,,,,,,,,,,,
University of Cincinnati Carl H. Lindner College of Business,University of Illinois at Chicago,0,85.5,51.61290322580645,56.52173913043478,73.33333333333334,51.61290322580645,85.5,51.61290322580645,0.5806451612903226,0.2857142857142857,0.85,0.0,0.0,0.0,0.0,4.392718968718095,1.983080038775065,54.165256809783365,2.502481227243452,1.0,0.0,,,,,,,,,,,,,,
University of Cincinnati Carl H. Lindner College of Business,University of San Francisco,0,85.5,48.27586206896552,65.0,73.91304347826086,45.97701149425287,85.5,48.27586206896552,0.7586206896551724,0.3846153846153846,0.7,0.0,0.0,0.0,0.0,4.392718968718095,1.983080038775065,49.10756356743105,2.502481227243452,1.0,0.0,,,,,,,,,,,,,,
University of Cincinnati Carl H. Lindner College of Business,University of West Georgia,0,85.5,44.18604651162791,66.66666666666666,71.42857142857143,46.51162790697675,85.5,44.18604651162791,0.7906976744186046,0.3846153846153846,0.6666666666666666,0.0,0.0,0.0,0.0,4.392718968718095,1.983080038775065,48.23467215109145,2.502481227243452,1.0,0.0,,,,,,,,,,,,,,
