bin,x,y,n,t
1,-0.5569812216352806,-0.21254788745819725,8931,2010
2,-0.15339734472197944,-0.31900324807646213,11535,2010
3,-0.06674578435943058,-0.371214296367153,13018,2010
4,-0.03768200088204749,-0.4464985776088734,2221,2010
5,-0.0069343930749683,-0.4989389533507357,19387,2010
6,0.046479737564337355,-0.6900998354364577,117511,2010
7,0.5811597718060235,-1.0738746069214362,5498,2010
1,-0.5370181376730223,-0.15960419419307223,9206,2011
2,-0.15466386153164277,-0.25321777531417444,11642,2011
3,-0.0694028914800255,-0.30975683009320815,13487,2011
4,-0.040081013417161374,-0.4073849013703904,2383,2011
5,-0.009391509526769808,-0.4228348143302541,20113,2011
6,0.04419032262752989,-0.5609454730090012,120553,2011
7,0.5653171373113944,-0.9953802381618851,6058,2011
1,-0.5120895297506012,-0.08170338684684923,9713,2012
2,-0.1563691519282225,-0.19680280798498603,11460,2012
3,-0.07440240928537173,-0.21841801471921024,13873,2012
4,-0.03946288119989848,-0.5872332250496751,3464,2012
5,-0.013838343890642774,-0.28134120887439296,19827,2012
6,0.039668200937762646,-0.4283488519796599,123773,2012
7,0.5557329446736988,-0.8272422765657411,7152,2012
1,-0.5036158348762019,-0.027836998857954137,9784,2013
2,-0.1608300701688338,-0.12457570646732301,11801,2013
3,-0.07922577897723108,-0.1556347897091785,14161,2013
4,-0.04578372661024308,-0.4489418162057712,3399,2013
5,-0.018270579092675703,-0.18266056449719378,20654,2013
6,0.035649500569702244,-0.30616577700416486,126981,2013
7,0.5474009426158234,-0.6138845780659209,8221,2013
1,-0.43523321590937153,0.044637358212089806,10488,2014
2,-0.1650542284113057,-0.09790594669220427,10005,2014
3,-0.09654952992482971,-0.06278606344059348,13911,2014
4,-0.05645831348765315,-0.35100958398864135,5953,2014
5,-0.03518359742739907,-0.05931179858449783,18420,2014
6,0.01809514098772051,-0.17728852080442564,130252,2014
7,0.1715248282718156,-0.19412276578371168,1789,2014
8,0.616733929647312,-0.44246897749248265,10043,2014
1,-0.37043729171013196,0.08428894852169938,11040,2015
2,-0.1601213926604996,0.022794799929961126,17240,2015
3,-0.11878033045925358,-0.24480684206121878,2771,2015
4,-0.08742835308845665,-0.011376932084846542,20828,2015
5,-0.03184755139734895,-0.049668089142239004,133315,2015
6,0.055647973761288286,0.049036863748604775,797,2015
7,0.43049772184430507,-0.14957257282617825,11287,2015
8,0.8851782653659455,-0.32573207064995335,9379,2015
1,-0.3685264916155803,0.07335219316963365,10674,2016
2,-0.18121713512457355,0.10799059790809168,14941,2016
3,-0.13366245493509024,-0.1044691786979268,6446,2016
4,-0.10920362540785233,0.08690613372234003,16746,2016
5,-0.05590712655034703,0.06601725473489027,136087,2016
6,0.2637075178278391,0.014115464508689975,5639,2016
7,0.5186580529930314,-0.13248519463336506,12586,2016
8,1.0091491128387282,-0.21237104038567053,8538,2016
1,-0.37140224196084676,0.13575866933558875,10889,2017
2,-0.1722028179923075,0.12458059928837986,17118,2017
3,-0.12748840114365448,-0.018140701470404842,4977,2017
4,-0.0980052139949899,0.15616403171914603,18718,2017
5,-0.04408080520711119,0.17042083062268923,139074,2017
6,0.20159426502132313,0.06054191009048259,4013,2017
7,0.47719083870143136,-0.06322190992334269,10904,2017
8,0.8515292039168275,-0.12059825660580288,10705,2017
1,-0.36912673219559705,0.2036077302557263,12104,2018
2,-0.15958059118999005,0.1918362356107096,18302,2018
3,-0.12002896696073566,0.05433172323719095,3267,2018
4,-0.08667814053563848,0.23355373788916448,20927,2018
5,-0.031078755268878492,0.24608748829088545,141970,2018
6,0.10965266922313277,0.08982142979124837,1744,2018
7,0.4451820786453128,6.370720257215322e-05,12424,2018
8,0.8131408103561497,-0.06673579762753407,9609,2018
1,-0.39925703438152504,0.31069733173462344,12277,2019
2,-0.17410505266126924,0.22856479358225357,10926,2019
3,-0.1201690627876919,0.2787573811271152,10871,2019
4,-0.07142777869746235,0.291808937732701,25160,2019
5,-0.011191669970026855,0.30591913491260364,144266,2019
6,0.36074931253225956,0.011494856781843461,9672,2019
7,0.7430067950722894,-0.13135662897862682,10161,2019
1,-0.44324208603145526,0.39962579629404976,11256,2020
2,-0.18200763779262866,0.28990375492202053,11815,2020
3,-0.11511616144895874,0.39175724699373043,13227,2020
4,-0.06177384439574253,0.4110070864346976,25245,2020
5,-0.0016060197640533772,0.33836363195597424,145980,2020
6,0.31519260105085845,-0.08856459172212115,6508,2020
7,0.7151149992364169,-0.28024004318496504,11084,2020
1,-0.45647033461131703,0.48953049078059885,11815,2021
2,-0.18110662719894435,0.3865465683928751,11033,2021
3,-0.11138980555969095,0.4110422003826947,14406,2021
4,-0.056085739031450955,0.4715370661247881,25416,2021
5,0.00411582077225476,0.3616932144649498,147148,2021
6,0.2900502903738414,-0.1253089367122769,5192,2021
7,0.6994254806971779,-0.38162318897592784,11204,2021
1,-0.4762339695796939,0.5630689066530737,11387,2022
2,-0.18163528685644326,0.4804925114393034,11813,2022
3,-0.10728866445282957,0.46508420739291373,15295,2022
4,-0.06819417686391403,0.4890242981480365,7125,2022
5,-0.04374361120787698,0.5352422251130228,18438,2022
6,0.009545351183146415,0.3739942710159186,148010,2022
7,0.24422696968461471,-0.24593786527732026,3364,2022
8,0.6912243217852496,-0.5135123656240892,11338,2022
