bin,x,y,n,size_q
1,-0.4726665714325112,0.34895922124230133,34832,1
2,-0.19045610399142826,0.41219095380090853,35389,1
3,-0.12586332710112239,0.44614692926489813,34412,1
4,-0.08686612952791847,0.6483903260565429,35090,1
5,-0.057414873073809346,0.39305106187984706,47340,1
6,-0.045504147213498505,0.6918569688402085,44558,1
7,-0.0332441592187662,0.43290541192215626,45487,1
8,-0.031046107832583852,0.6458385140996249,34671,1
9,-0.025789958357249728,-0.8614246437422961,2033,1
10,-0.01236294749421763,0.6183977565578506,45688,1
11,-0.0031459576849255373,0.6286955606158073,45302,1
12,0.004149154756455835,1.2167230134547342,33264,1
13,0.009575596571538227,1.5175022851458657,33137,1
14,0.018130910117007737,0.19580514069939522,36397,1
15,0.035651665594948444,0.09696018455043344,36938,1
16,0.039694608912215504,0.009616784175860999,37187,1
17,0.044217919305687005,-0.09038294753372902,37673,1
18,0.04650672040522566,-0.22389243073993406,38048,1
19,0.17550070019812786,0.025201389797634997,3903,1
20,0.6159283158653758,-0.009104211639760792,34808,1
1,-0.38426858627998717,0.11215278546884105,32938,2
2,-0.15486593321717418,0.009909382283088467,33256,2
3,-0.10119334462806855,-0.005588483080613951,35321,2
4,-0.061308769365744836,-0.09192295789312818,58495,2
5,-0.0547478348776969,0.4203822841528694,4749,2
6,-0.04468833750101685,0.06798835952267758,42020,2
7,-0.03346133141946623,-0.15341448414055903,44294,2
8,-0.03104616206867349,0.12959978105618827,36930,2
9,-0.016091835469645592,-0.3928180203294496,10528,2
10,-0.01115824580612125,0.23132446671322093,37590,2
11,-0.0028605519195699586,0.11094072388835229,48226,2
12,0.004150367188400625,0.36315889728689377,38051,2
13,0.009576034273148442,0.4591650498315511,37617,2
14,0.01812917418031703,-0.3759159890532256,33531,2
15,0.03564570599850003,-0.507664452965945,32652,2
16,0.039694038201357036,-0.6353570160562865,31576,2
17,0.04421892813725908,-0.7778678506653789,30586,2
18,0.04650653016207988,-0.8847813210893268,29910,2
19,0.25936800096813756,-0.2429295219389374,7368,2
20,0.6735144468611982,-0.4868013843792869,32917,2
1,-0.384641613866446,0.04862234514346146,33851,3
2,-0.1592948338586932,-0.01965533912060991,33813,3
3,-0.10727789555532874,-0.042130101547124266,33517,3
4,-0.07510219031649716,-0.13209447678155517,35247,3
5,-0.055944447321070644,-0.051463984946987056,34806,3
6,-0.04607255672367821,0.05275360990211348,48198,3
7,-0.03383197788874751,-0.16183394762885495,45088,3
8,-0.031046079094275,0.1034580000842272,36532,3
9,-0.017843155074965915,-0.3215063451259516,5637,3
10,-0.011460130817476306,0.059766256234098564,42762,3
11,-0.002864514226295332,-0.012273657435153771,48171,3
12,0.004150478046703051,0.030278085878758784,39462,3
13,0.009575001897186719,-0.06830854245917166,39822,3
14,0.018127671457643445,-0.3330976364434589,31962,3
15,0.03563535673591146,-0.48719151448348946,30792,3
16,0.04190781876226719,-0.6986684551263709,57709,3
17,0.046506254884417474,-0.9189221603453004,26915,3
18,0.3448912645446005,-0.24155619993054192,15687,3
19,0.7309180715545347,-0.45691171163029637,33437,3
1,-0.5329152600852017,0.07830859825497916,33766,4
2,-0.21821922788101825,-0.00986961541940674,34379,4
3,-0.14251748068290576,-0.043700292307166565,33500,4
4,-0.09956818271376425,-0.07774070452796714,35551,4
5,-0.062174895199955366,-0.055892581608536655,54758,4
6,-0.0520058779774591,-0.0068231989812286955,11583,4
7,-0.04414385096262949,0.07844968403772119,33238,4
8,-0.03408093911417707,-0.14952105580911212,41449,4
9,-0.03104617427973041,0.11703846260234115,33672,4
10,-0.01215979876395002,0.008824592582364692,43978,4
11,-0.002722035413030711,-0.01991944145947256,42577,4
12,0.004143546611726201,-0.06203043195854204,36453,4
13,0.00956810322818996,-0.2534580299583245,37481,4
14,0.01252520474902535,-0.02719087977437015,142,4
15,0.026672196592156323,-0.31932697422328127,55852,4
16,0.03968852538787067,-0.5794304007891428,25595,4
17,0.04421044668761395,-0.7639902015333734,24182,4
18,0.06835009268348728,-0.7347592106943811,29383,4
19,0.4287329030501492,-0.14476812021974625,33853,4
20,0.8188624652796164,-0.3700838661463353,33646,4
