name_a,name_b,label,feature_0,feature_1,feature_2,feature_3,feature_4
Kyung Hee University,KyungHee University,1,97.43589743589743,82.05128205128204,82.05128205128204,94.73684210526316,0.05128205128205128
Seoul Foreign School,Seoul Foreign High School,1,95.0,88.88888888888889,100.0,82.35294117647058,0.2222222222222222
Ewha Womans University 이화여자대학교,Ewha Womans University,1,95.0,84.61538461538461,100.0,100.0,0.3076923076923077
Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology (KAIST),1,95.0,92.5925925925926,100.0,100.0,0.14814814814814814
Korea Maritime University,Korea Maritime & Ocean University,1,95.0,86.20689655172413,100.0,75.0,0.27586206896551724
Yonsei University,Yonsei University 연세대학교,1,95.0,85.0,100.0,100.0,0.3
Chung-Ang University,Chung-Ang University (중앙대학교),1,95.0,83.33333333333334,100.0,100.0,0.3333333333333333
Hannam University,Hannam University (한남대학교),1,95.0,80.95238095238095,100.0,100.0,0.38095238095238093
Kyung-Pook National University,Kyungpook National University,1,94.91525423728814,94.91525423728814,94.91525423728814,93.10344827586206,0.03389830508474576
Chonnam National University,Chungnam National University,1,94.54545454545455,94.54545454545455,94.54545454545455,92.5925925925926,0.03636363636363636
